날짜,출연자,소스,값
2025-12-20,최강록,youtube,13.0
2025-12-20,후덕죽,datalab,12.54559
2025-12-20,후덕죽,google,19.0
2025-12-20,후덕죽,youtube,5.0
2025-12-21,샘킴,datalab,14.29085
2025-12-21,샘킴,google,0.0
2025-12-21,샘킴,youtube,16.0
2025-12-21,선재스님,datalab,63.28418
2025-12-21,선재스님,google,82.0
2025-12-21,선재스님,youtube,55.0
2025-12-21,손종원,datalab,61.42201
2025-12-21,손종원,google,51.0
2025-12-21,손종원,youtube,78.0
2025-12-21,아기맹수,datalab,48.81504
2025-12-21,아기맹수,google,49.0
2025-12-21,아기맹수,youtube,53.0
2025-12-21,요리괴물,datalab,5.11651
2025-12-21,요리괴물,google,12.0
2025-12-21,요리괴물,youtube,6.0
2025-12-21,윤준모,datalab,26.23468
2025-12-21,윤준모,google,0.0
2025-12-21,윤준모,youtube,8.0
2025-12-21,임성근,datalab,0.99655
2025-12-21,임성근,google,0.0
2025-12-21,임성근,youtube,0.0
2025-12-21,정호영,datalab,19.01425
2025-12-21,정호영,google,20.0
2025-12-21,정호영,youtube,37.0
2025-12-21,최강록,datalab,12.60297
2025-12-21,최강록,google,16.0
2025-12-21,최강록,youtube,12.0
2025-12-21,후덕죽,datalab,13.39028
2025-12-21,후덕죽,google,19.0
2025-12-21,후덕죽,youtube,5.0
2025-12-22,샘킴,datalab,11.03721
2025-12-22,샘킴,google,0.0
2025-12-22,샘킴,youtube,17.0
2025-12-22,선재스님,datalab,39.42756
2025-12-22,선재스님,google,38.0
2025-12-22,선재스님,youtube,40.0
2025-12-22,손종원,datalab,50.05501
2025-12-22,손종원,google,44.0
2025-12-22,손종원,youtube,78.0
2025-12-22,아기맹수,datalab,35.14601
2025-12-22,아기맹수,google,76.0
2025-12-22,아기맹수,youtube,42.0
2025-12-22,요리괴물,datalab,3.9387
2025-12-22,요리괴물,google,0.0
2025-12-22,요리괴물,youtube,5.0
2025-12-22,윤준모,datalab,17.66139
2025-12-22,윤준모,google,0.0
2025-12-22,윤준모,youtube,12.0
2025-12-22,임성근,datalab,0.44691
2025-12-22,임성근,google,0.0
2025-12-22,임성근,youtube,0.0
2025-12-22,정호영,datalab,15.98574
2025-12-22,정호영,google,17.0
2025-12-22,정호영,youtube,45.0
2025-12-22,최강록,datalab,7.64174
2025-12-22,최강록,google,11.0
2025-12-22,최강록,youtube,15.0
2025-12-22,후덕죽,datalab,7.34306
2025-12-22,후덕죽,google,12.0
2025-12-22,후덕죽,youtube,4.0
2025-12-23,샘킴,datalab,19.64767
2025-12-23,샘킴,google,50.0
2025-12-23,샘킴,youtube,27.0
2025-12-23,선재스님,datalab,57.6952
2025-12-23,선재스님,google,79.0
2025-12-23,선재스님,youtube,62.0
2025-12-23,손종원,datalab,47.00459
2025-12-23,손종원,google,45.0
2025-12-23,손종원,youtube,78.0
2025-12-23,아기맹수,datalab,40.17634
2025-12-23,아기맹수,google,90.0
2025-12-23,아기맹수,youtube,47.0
2025-12-23,요리괴물,datalab,11.48682
2025-12-23,요리괴물,google,35.0
2025-12-23,요리괴물,youtube,35.0
2025-12-23,윤준모,datalab,17.67512
2025-12-23,윤준모,google,0.0
