restaurant,reviewer,review_date,reviewer_rating,day_night
IMOK Smoke Dining,경경이,2025.12.22,5.0,점심
IMOK Smoke Dining,지혜로운 마스터_98535,2025.12.21,5.0,점심
IMOK Smoke Dining,매너백,2025.12.21,4.5,점심
IMOK Smoke Dining,살사리,2025.12.21,5.0,저녁
IMOK Smoke Dining,온화한 식도락가_86664,2025.12.21,5.0,점심
IMOK Smoke Dining,키친쿡,2025.12.20,5.0,저녁
IMOK Smoke Dining,개구진 개척가_85985,2025.12.20,5.0,저녁
IMOK Smoke Dining,콕크,2025.12.20,5.0,점심
IMOK Smoke Dining,예리한 미식가_26249,2025.12.20,4.7,점심
IMOK Smoke Dining,리샤니,2025.12.19,5.0,저녁
IMOK Smoke Dining,funkytwnw,2025.12.19,4.5,저녁
IMOK Smoke Dining,도도한 식객_16670,2025.12.19,5.0,저녁
IMOK Smoke Dining,치코마마,2025.12.19,5.0,점심
IMOK Smoke Dining,강직한 개척가_68136,2025.12.19,5.0,점심
IMOK Smoke Dining,랄아,2025.12.18,5.0,점심
IMOK Smoke Dining,외로운 개척가_86081,2025.12.18,5.0,저녁
IMOK Smoke Dining,Untresbonplat,2025.12.18,5.0,점심
IMOK Smoke Dining,유명한 마스터_95157,2025.12.16,5.0,점심
IMOK Smoke Dining,남달라비비,2025.12.15,4.8,저녁
IMOK Smoke Dining,ara0620,2025.12.15,4.8,점심
IMOK Smoke Dining,모다기비,2025.12.14,5.0,저녁
IMOK Smoke Dining,CatchCold,2025.12.14,5.0,저녁
IMOK Smoke Dining,kangbs98,2025.12.14,5.0,저녁
IMOK Smoke Dining,우수한 미식가_80924,2025.12.14,5.0,저녁
IMOK Smoke Dining,성공한 마스터_19296,2025.12.13,5.0,저녁
IMOK Smoke Dining,리튜바,2025.12.13,5.0,점심
IMOK Smoke Dining,MK SHIN,2025.12.13,4.8,저녁
IMOK Smoke Dining,개구진 마스터_74354,2025.12.12,4.5,저녁
IMOK Smoke Dining,곽세홍,2025.12.12,5.0,점심
IMOK Smoke Dining,지혜로운 개척가_14032,2025.12.12,3.0,점심
IMOK Smoke Dining,asll,2025.12.12,3.7,점심
IMOK Smoke Dining,착한 개척가_62444,2025.12.12,5.0,저녁
IMOK Smoke Dining,맛죠죠,2025.12.11,5.0,점심
IMOK Smoke Dining,생각좀하자,2025.12.11,4.5,점심
IMOK Smoke Dining,sangmali,2025.12.11,5.0,저녁
IMOK Smoke Dining,코일,2025.12.10,5.0,점심
IMOK Smoke Dining,조용한 식도락가_7352,2025.12.10,5.0,점심
IMOK Smoke Dining,JayK,2025.12.10,5.0,저녁
IMOK Smoke Dining,Arise 101,2025.12.10,5.0,저녁
IMOK Smoke Dining,개구진 개척가_29956,2025.12.09,5.0,저녁
IMOK Smoke Dining,seunghyeok,2025.12.09,5.0,점심
라망시크레,아민손,2026.01.14,5.0,저녁
라망시크레,호기심 많은 마스터_92605,2026.01.14,5.0,점심
라망시크레,Jordan Han,2026.01.13,5.0,저녁
라망시크레,럽지우,2026.01.13,5.0,점심
라망시크레,SSS55,2026.01.12,5.0,저녁
라망시크레,다야몽몽,2026.01.12,5.0,점심
라망시크레,Philomeno,2026.01.11,4.5,저녁
라망시크레,외로운 마스터_64932,2026.01.10,5.0,점심
라망시크레,너구리는,2026.01.10,3.0,저녁
라망시크레,미식가 피카츄,2026.01.10,5.0,저녁
라망시크레,밝은 마스터_27282,2026.01.10,5.0,점심
라망시크레,신나는 마스터_30837,2026.01.10,5.0,점심
라망시크레,Unknown,Unknown,Unknown,Unknown
라망시크레,미쉘린타이거,2026.01.10,4.3,점심
라망시크레,lilly7,2026.01.10,4.5,점심
라망시크레,비범한 마스터_3807,2026.01.09,5.0,점심
라망시크레,성공한 식도락가_56009,2026.01.09,5.0,점심
라망시크레,조용한 미식가_81958,2026.01.09,5.0,점심
라망시크레,로즐링,2026.01.09,3.8,점심
라망시크레,심정희Elisabeth,2026.01.09,4.5,점심
라망시크레,건강한 개척가_26481,2026.01.09,5.0,점심
라망시크레,스타원님,2026.01.08,5.0,저녁
라망시크레,재능있는 셀럽_57904,2026.01.08,5.0,저녁
라망시크레,부드러운 맛사냥꾼_55610,2026.01.08,3.5,저녁
라망시크레,툴쿤느,2026.01.08,5.0,저녁
라망시크레,memento02,2026.01.07,4.7,점심
라망시크레,セ★,2026.01.07,5.0,점심
라망시크레,?????????????,2026.01.07,5.0,점심
라망시크레,Jinnb,2026.01.06,4.5,점심
라망시크레,슬기로운 혼밥 일기,2026.01.06,5.0,점심
라망시크레,뽀뽀사우르스,2026.01.05,5.0,점심
라망시크레,맛집러21,2026.01.05,5.0,저녁
라망시크레,마랭,2026.01.05,5.0,점심
라망시크레,외로운 마스터_84128,2026.01.05,5.0,저녁
라망시크레,Lalala007,2026.01.05,2.5,점심
라망시크레,활기찬 개척가_15069,2026.01.04,3.5,저녁
라망시크레,ʚ윤짱ɞ,2026.01.04,4.8,저녁
라망시크레,토마호크짜앙,2026.01.04,5.0,점심
라망시크레,이호준01,2026.01.04,3.0,저녁
라망시크레,dylank_,2026.01.04,4.7,점심
라망시크레,재미있는 마스터_90904,2026.01.03,5.0,저녁
라망시크레,활기찬 식도락가_39556,2026.01.02,5.0,저녁
라망시크레,월연영,2026.01.02,5.0,점심
라망시크레,령우,2026.01.01,5.0,저녁
라망시크레,엽빠,2026.01.01,5.0,저녁
라망시크레,정직한 개척가_21197,2026.01.01,5.0,저녁
라망시크레,예리한 식객_96441,2026.01.01,4.0,저녁
라망시크레,나풀리맛피아,2026.01.01,5.0,점심
라망시크레,pelos****,2026.01.01,5.0,점심
라망시크레,Msooy,2026.01.01,5.0,저녁
라망시크레,SJNF,2026.01.01,5.0,점심
라망시크레,민터,2026.01.01,5.0,점심
라망시크레,smchung1021,2026.01.01,5.0,저녁
라망시크레,frank90,2025.12.31,5.0,점심
라망시크레,은도리11,2025.12.31,5.0,점심
라망시크레,2539,2025.12.31,5.0,저녁
라망시크레,조용한 미식가_93496,2025.12.31,5.0,점심
라망시크레,김호정호김,2025.12.31,5.0,점심
라망시크레,발랄한 식도락가_83968,2025.12.30,5.0,저녁
라망시크레,쩨이대디,2025.12.30,5.0,저녁
라망시크레,호기심 많은 셀럽_70515,2025.12.30,5.0,점심
라망시크레,돌돌이s,2025.12.30,5.0,점심
라망시크레,바른자세과장,2025.12.30,5.0,저녁
라망시크레,메롱메롱888,2025.12.29,5.0,저녁
라망시크레,우수한 미식가_3594,2025.12.29,5.0,저녁
라망시크레,헤븐냠냠,2025.12.29,5.0,점심
라망시크레,알레알레오,2025.12.29,5.0,저녁
라망시크레,신나는 맛사냥꾼_23293,2025.12.28,5.0,저녁
라망시크레,김선규hh,2025.12.28,5.0,점심
라망시크레,고슴꼬치,2025.12.28,5.0,저녁
라망시크레,아름다운 동행_94762,2025.12.28,5.0,저녁
라망시크레,싱다,2025.12.28,5.0,저녁
라망시크레,선산곱창,2025.12.28,5.0,저녁
라망시크레,온화한 맛사냥꾼_446,2025.12.28,5.0,저녁
라망시크레,민푸디,2025.12.28,5.0,점심
라망시크레,흥제니,2025.12.28,5.0,저녁
라망시크레,PSH2473,2025.12.27,5.0,저녁
라망시크레,경쾌한 식객_64397,2025.12.27,5.0,점심
라망시크레,재능있는 식객_28482,2025.12.27,5.0,점심
라망시크레,히쨩,2025.12.27,5.0,점심
라망시크레,아너ㅑ맵,2025.12.25,4.5,점심
라망시크레,온화한 셀럽_92701,2025.12.25,5.0,점심
라망시크레,대단한농,2025.12.25,4.7,점심
라망시크레,정직한 개척가_69081,2025.12.25,5.0,저녁
라망시크레,남다른 셀럽_16855,2025.12.25,5.0,점심
라망시크레,우수한 식객_29965,2025.12.25,5.0,점심
라망시크레,glee6113,2025.12.25,5.0,저녁
라망시크레,지혜로운 개척가_46889,2025.12.25,4.2,점심
라망시크레,키키키쿄쿄쿙,2025.12.24,4.5,저녁
라망시크레,멋진식사,2025.12.24,5.0,저녁
라망시크레,예약성공기원제발,2025.12.24,5.0,저녁
라망시크레,정직한 셀럽_97458,2025.12.24,5.0,저녁
라망시크레,YUYJin,2025.12.24,5.0,저녁
라망시크레,평티니,2025.12.24,5.0,점심
라망시크레,최고의 개척가_20582,2025.12.24,5.0,점심
라망시크레,신나는 셀럽_54369,2025.12.24,5.0,점심
라망시크레,씩씩한 개척가_11402,2025.12.24,5.0,점심
라망시크레,맛집찾아삼만리,2025.12.24,5.0,저녁
라망시크레,발랄한 맛사냥꾼_38823,2025.12.23,5.0,점심
라망시크레,jiwon__:,2025.12.22,5.0,저녁
라망시크레,흥미로운 개척가_15674,2025.12.22,5.0,저녁
라망시크레,신나는 미식가_10141,2025.12.22,5.0,점심
라망시크레,행복한 식객_22931,2025.12.21,5.0,저녁
라망시크레,방혜은,2025.12.21,5.0,점심
라망시크레,발랄한 미식가_31175,2025.12.21,5.0,점심
라망시크레,찐빵호빵빵,2025.12.20,5.0,점심
라망시크레,안농임,2025.12.20,5.0,점심
라망시크레,낌깜이,2025.12.19,5.0,점심
라망시크레,재능있는 미식가_68483,2025.12.19,3.7,저녁
라망시크레,씩씩한 마스터_17367,2025.12.19,5.0,점심
라망시크레,똑똑한 미식가_46333,2025.12.19,5.0,점심
라망시크레,멋진 개척가_5637,2025.12.18,5.0,저녁
라망시크레,우수한 미식가_94479,2025.12.18,5.0,점심
라망시크레,pinkpsy,2025.12.18,5.0,점심
라망시크레,gyeongho!,2025.12.18,5.0,점심
라망시크레,흥미로운 마스터_56081,2025.12.18,4.3,저녁
라망시크레,미닝203,2025.12.17,4.5,점심
라망시크레,YH_Austin_Kim,2025.12.17,5.0,점심
라망시크레,에피큐르,2025.12.17,5.0,점심
라망시크레,쩡찌롱,2025.12.17,5.0,저녁
라망시크레,분위기 좋고 맛나는곳 조하,2025.12.17,5.0,점심
라망시크레,건강한 마스터_71961,2025.12.17,5.0,점심
라망시크레,석향진,2025.12.16,5.0,저녁
라망시크레,엘리오빠,2025.12.16,4.7,저녁
라망시크레,지혜로운 미가,2025.12.15,4.7,점심
라망시크레,빠라바라아밤,2025.12.15,5.0,저녁
라망시크레,솔직한 맛사냥꾼_68269,2025.12.15,4.7,점심
라망시크레,재미있는 셀럽_2925,2025.12.14,5.0,저녁
라망시크레,Suzykeem,2025.12.14,5.0,저녁
라망시크레,현실주의자 박공석,2025.12.14,5.0,점심
라망시크레,민자두자두,2025.12.14,5.0,저녁
라망시크레,Flyhigh,2025.12.14,5.0,저녁
라망시크레,깡혜수,2025.12.14,5.0,저녁
라망시크레,즐거운 개척가_53765,2025.12.13,5.0,저녁
라망시크레,깜찍한 식도락가_10006,2025.12.13,5.0,점심
라망시크레,예니아니,2025.12.13,5.0,점심
라망시크레,kdh310,2025.12.13,5.0,점심
라망시크레,맛난거만 먹을거에요,2025.12.12,4.7,저녁
라망시크레,_Jina_Park_,2025.12.12,5.0,저녁
라망시크레,꿈꾸는 식도락가_79326,2025.12.12,5.0,점심
라망시크레,테키마눌,2025.12.12,5.0,저녁
라망시크레,조용한 미식가_61122,2025.12.12,5.0,점심
라망시크레,맛있는거는꼭,2025.12.12,5.0,점심
